title,objectid,filename,format,date,currency,amount,subunit,description,subject,location,type,rights,latitude,longitude
US Half Dollar 1976,usd_50c_1976_1,usd_50c_1976_1,image/jpeg,1976,USD,50,Cent,,united states; money,United States,Image; Still Image,,,
US Half Dollar 1968,usd_50c_1968_1,usd_50c_1968_1,image/jpeg,1968,USD,50,Cent,,united states; money,United States,Image; Still Image,,,
US Half Dollar 1998,usd_50c_1998_1,usd_50c_1998_1,image/jpeg,1998,USD,50,Cent,,united states; money,United States,Image; Still Image,,,
US Dollar unknown (year),usd_1d_year_1,usd_1d_year_1,image/jpeg,,USD,1,Dollar,,united states; money,United States,Image; Still Image,,,
US Half Dollar 1996,usd_50c_1994_1,usd_50c_1994_1,image/jpeg,1994,USD,50,Cent,,united states; money,United States,Image; Still Image,,,
US Half Dollar 1966,usd_50c_1966_1,usd_50c_1966_1,image/jpeg,1966,USD,50,Cent,,united states; money,United States,Image; Still Image,,,
US Cent 1989,usd_1c_1989_1,usd_1c_1989_1,image/jpeg,1989,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
US Cent 1977,usd_1c_1977_1,usd_1c_1977_1,image/jpeg,1977,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
US Cent 1955,usd_1c_1955_1,usd_1c_1955_1,image/jpeg,1955,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
US Cent 1994,usd_1c_1994_1,usd_1c_1994_1,image/jpeg,1994,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
US Cent 1995,usd_1c_1998_1,usd_1c_1998_1,image/jpeg,1995,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
US Cent 1990,usd_1c_1990_1,usd_1c_1990_1,image/jpeg,1990,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
US Half Dollar 1942,usd_50c_1942_1,usd_50c_1942_1,image/jpeg,1942,USD,50,Cent,Liberty,united states; money,United States,Image; Still Image,,,
Canadian Dollar 1996,cad_2d_1996_1,cad_2d_1996_1,image/jpeg,1996,CAD,2,Dollar,,canada; money,Canada,Image; Still Image,,,
US Dollar 1979,usd_1d_1979_1,usd_1d_1979_1,image/jpeg,1979,USD,1,Dollar,,united states; money,United States,Image; Still Image,,,
Canadian Dollar 1988,cad_1d_1988_1,cad_1d_1988_1,image/jpeg,1988,CAD,1,Dollar,,canada; money,Canada,Image; Still Image,,,
Chinese Dollar 1995,cny_2d_1995_1,cny_2d_1995_1,image/jpeg,1995,CNY,2,Dollar,,china; money,China,Image; Still Image,,,
Indonesian Rupiah 2003,idr_500r_2003_1,idr_500r_2003_1,image/jpeg,2003,IDR,500,Rupiah,,indonesia; money,Indonesia,Image; Still Image,,,
Egyptian Pound (year),egp_1p_year_1,egp_1p_year_1,image/jpeg,,EGP,1,Pound,,egypt; money,Egypt,Image; Still Image,,,
Mexican Peso 1997,mxn_5p_1997_1,mxn_5p_1997_1,image/jpeg,1997,MXN,5,Peso,,mexico; money,Mexico,Image; Still Image,,,
Mexican Peso 2004,mxn_2p_2004_1,mxn_2p_2004_1,image/jpeg,2004,MXN,2,Peso,,mexico; money,Mexico,Image; Still Image,,,
Mexican Peso 1979,mxn_1p_1979_1,mxn_1p_1979_1,image/jpeg,1979,MXN,1,Peso,,mexico; money,Mexico,Image; Still Image,,,
Mexican unknown denom unknown (year),mxn_100_year_1,mxn_100_year_1,image/jpeg,,MXN,100?,,,mexico; money,Mexico,Image; Still Image,,,
Ghanaian Fesewa 2016,ghs_20f_2016_1,ghs_20f_2016_1,image/jpeg,2016,GHS,20,Fesewa,,ghana; money,Ghana,Image; Still Image,,,
Ghanaian Fesewa 2007,ghs_50f_2007_1,ghs_50f_2007_1,image/jpeg,2007,GHS,50,Fesewa,,ghana; money,Ghana,Image; Still Image,,,
Ghanaian Cedi 2007,ghs_1c_2007_1,ghs_1c_2007_1,image/jpeg,2007,GHS,1,Cedi,,ghana; money,Ghana,Image; Still Image,,,
Canadian Cent 2004,cad_5c_2004_1,cad_5c_2004_1,image/jpeg,2004,CAD,5,Cent,,canada; money,Canada,Image; Still Image,,,
Canadian Cent 2008,cad_10c_2008_1,cad_10c_2008_1,image/jpeg,2008,CAD,10,Cent,,canada; money,Canada,Image; Still Image,,,
Canadian Cent 1979,cad_10c_1979_1,cad_10c_1979_1,image/jpeg,1979,CAD,10,Cent,,canada; money,Canada,Image; Still Image,,,
US Penny 2009,usd_1c_2009_1,usd_1c_2009_1,image/jpeg,2009,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
Canadian denom (year),cad_denom_year_1,cad_denom_year_1,image/jpeg,,CAD,,,,canada; money,Canada,Image; Still Image,,,
Canadian denom (year),cad_denom_year_2,cad_denom_year_2,image/jpeg,,CAD,,,,canada; money,Canada,Image; Still Image,,,
Canadian denom (year),cad_denom_year_3,cad_denom_year_3,image/jpeg,,CAD,,,,canada; money,Canada,Image; Still Image,,,
Canadian denom (year),cad_denom_year_4,cad_denom_year_4,image/jpeg,,CAD,,,,canada; money,Canada,Image; Still Image,,,
EU Cent 2002,eur_5c_2002_1,eur_5c_2002_1,image/jpeg,2002,EUR,5,Cent,,ireland; money,Ireland,Image; Still Image,,,
EU Cent 2002,eur_5c_2002_2,eur_5c_2002_2,image/jpeg,2002,EUR,5,Cent,,ireland; money,Ireland,Image; Still Image,,,
EU Cent 2002,eur_5c_2002_3,eur_5c_2002_3,image/jpeg,2002,EUR,5,Cent,,ireland; money,Ireland,Image; Still Image,,,
British Pence 1996,gbp_5pe_1996_1,gbp_5pe_1996_1,image/jpeg,1996,GBP,5,Pence,,united kingdom; money,United Kingdom,Image; Still Image,,,
EU Cent 2002,eur_1c_2002_1,eur_1c_2002_1,image/jpeg,2002,EUR,1,Cent,,ireland; money,Ireland,Image; Still Image,,,
EU Cent 2002,eur_2c_2002_1,eur_2c_2002_1,image/jpeg,2002,EUR,2,Cent,,ireland; money,Ireland,Image; Still Image,,,
EU Cent 2002,eur_5c_2002_4,eur_5c_2002_4,image/jpeg,2002,EUR,5,Cent,,ireland; money,Ireland,Image; Still Image,,,
EU Cent 2002,eur_5c_2002_5,eur_5c_2002_5,image/jpeg,2002,EUR,5,Cent,,ireland; money,Ireland,Image; Still Image,,,
Brazilian Centavo 2014,brl_10c_2014_1,brl_10c_2014_1,image/jpeg,2014,BRL,10,Centavo,,brazil; money,Brazil,Image; Still Image,,,
Spanish Peseta 1992,esp_5p_1992_1,esp_5p_1992_1,image/jpeg,1992,ESP,5,Peseta,,spain; money,Spain,Image; Still Image,,,
Singapore Cent 1993,sgd_10c_1993_1,sgd_10c_1993_1,image/jpeg,1993,SGD,10,Cent,,singapore; money,Singapore,Image; Still Image,,,
EU Cent 2002,eur_1c_2002_2,eur_1c_2002_2,image/jpeg,2002,EUR,1,Cent,,ireland;,Ireland,Image; Still Image,,,
Ukrainian Kopiyka 1992,unc_25k_1992_1,unc_25k_1992_1,image/jpeg,1992,UNC,25,Kopiyka,,ukraine;,Ukraine,Image; Still Image,,,
Indonesian Rupiah 2005,idr_100r_2005_1,idr_100r_2005_1,image/jpeg,2005,IDR,100,Rupiah,,indonesia;,Indonesia,Image; Still Image,,,
Indonesian Rupiah 2000,idr_100r_2000_1,idr_100r_2000_1,image/jpeg,2000,IDR,100,Rupiah,,indonesia;,Indonesia,Image; Still Image,,,
Indonesian Rupiah 2002,idr_100r_2002_1,idr_100r_2002_1,image/jpeg,2002,IDR,100,Rupiah,,indonesia;,Indonesia,Image; Still Image,,,
Mexican Cent 1993,mxn_50c_1993_1,mxn_50c_1993_1,image/jpeg,1993,MXN,50,Cent,,mexico;,Mexico,Image; Still Image,,,
Mexican Cent 1992,mxn_20c_1992_1,mxn_20c_1992_1,image/jpeg,1992,MXN,20,Cent,,mexico;,Mexico,Image; Still Image,,,
Mexican Dollar 2001,mxn_1d_2001_1,mxn_1d_2001_1,image/jpeg,2001,MXN,1,Dollar,,mexico;,Mexico,Image; Still Image,,,
Mexican Dollar 1992,mxn_1d_1992_1,mxn_1d_1992_1,image/jpeg,1992,MXN,1,Dollar,,mexico;,Mexico,Image; Still Image,,,
Korean Won 2001,krw_100w_2001_1,krw_100w_2001_1,image/jpeg,2001,KRW,100,Won,,korea;,Korea,Image; Still Image,,,
Chinese denom (year),cny_denom_year_1,cny_denom_year_1,image/jpeg,,CNY,,,,china;,China,Image; Still Image,,,
Japanese Yen (year),jpy_5y_year_1,jpy_5y_year_1,image/jpeg,,JPY,5,Yen,,japan;,Japan,Image; Still Image,,,
Japanese Yen (year),jpy_5y_year_2,jpy_5y_year_2,image/jpeg,,JPY,5,Yen,,japan;,Japan,Image; Still Image,,,
Mexican Dollar (year),mxn_1d_year_1,mxn_1d_year_1,image/jpeg,,MXN,1,Dollar,,mexico;,Mexico,Image; Still Image,,,
Mexican Dollar (year),mxn_1d_year_2,mxn_1d_year_2,image/jpeg,,MXN,1,Dollar,,mexico;,Mexico,Image; Still Image,,,
Canadian Cent (1987),cad_1c_1987_1,cad_1c_1987_1,image/jpeg,1987,CAD,1,Cent,,canada;,Canada,Image; Still Image,,,
Belgian Cent (year),bef_25c_year_1,bef_25c_year_1,image/jpeg,,BEF,25,Cent,,belgium;,Belgium,Image; Still Image,,,
Chinese denom (year),cny_1_year_1,cny_1_year_1,image/jpeg,,CNY,1,,,china;,China,Image; Still Image,,,
Chinese denom (year),cny_1_year_2,cny_1_year_2,image/jpeg,,CNY,1,,,china;,China,Image; Still Image,,,
Chinese denom (year),cny_1_year_3,cny_1_year_3,image/jpeg,,CNY,1,,,china;,China,Image; Still Image,,,
Mexican Centavo (1972),mxn_5c_1972_1,mxn_5c_1972_1,image/jpeg,1972,MXN,5,Centavos,,mexico;,Mexico,Image; Still Image,,,
British Pence (2001),gbp_2po_2001_1,gbp_2po_2001_1,image/jpeg,2001,GBP,2,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
British Pound (2016),gbp_1pe_2016_1,gbp_1pe_2016_1,image/jpeg,2016,GBP,1,Pound,,united kingdom;,United Kingdom,Image; Still Image,,,
British Pence (2014),gbp_10pe_2014_1,gbp_10pe_2014_1,image/jpeg,2014,GBP,10,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
British Pence (1992),gbp_10pe_1992_1,gbp_10pe_1992_1,image/jpeg,1992,GBP,10,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
British Pence (year),gbp_50pe_year_1,gbp_50pe_year_1,image/jpeg,?,GBP,50,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
British Pound (1993),gbp_1po_1993_1,gbp_1po_1993_1,image/jpeg,1993,GBP,1,Pound,,united kingdom;,United Kingdom,Image; Still Image,,,
British Pence (2006),gbp_5pe_2006_1,gbp_5pe_2006_1,image/jpeg,2006,GBP,5,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
British Pence (2009),gbp_20pe_2009_1,gbp_20pe_2009_1,image/jpeg,2009,GBP,20,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
British Pence (2013),gbp_1_2013_1,gbp_1_2013_1,image/jpeg,2013,GBP,1,,British Penny,united kingdom;,United Kingdom,Image; Still Image,,,
EU Cent (2008),eur_1c_2008_1,eur_1c_2008_1,image/jpeg,2008,EUR,1,Cent,,,,Image; Still Image,,,